airline,duration,source,destination,stops,day_diff,day_of_week,day_of_month,month,price
Air India,1430,COK,TRV,1,0,4,19,4,8467
Air India,1375,COK,TRV,1,0,4,19,4,8467
Air India,720,COK,TRV,1,0,4,19,4,10016
Air India,665,COK,TRV,1,0,4,19,4,10016
Air India,1715,COK,TRV,2,0,4,19,4,19503
Air India,1660,COK,TRV,2,0,4,19,4,19503
Air India,1550,COK,TRV,3,0,4,19,4,20180
Air India,2280,COK,TRV,3,0,4,19,4,20227
Air India,2280,COK,TRV,3,0,4,19,4,20227
Air India,2280,COK,TRV,3,0,4,19,4,20227
Air India,2280,COK,TRV,3,0,4,19,4,20264
Air India,2280,COK,TRV,3,0,4,19,4,20264
Air India,1550,COK,TRV,3,0,4,19,4,20285
Air India,2280,COK,TRV,3,0,4,19,4,20442
Air India,2280,COK,TRV,3,0,4,19,4,20442
Air India,2885,COK,TRV,2,0,4,19,4,20592
Air India,2885,COK,TRV,2,0,4,19,4,20627
Air India,2280,COK,TRV,3,0,4,19,4,20684
Air India,1715,COK,TRV,2,0,4,19,4,20763
Air India,1715,COK,TRV,2,0,4,19,4,20763
Air India,1660,COK,TRV,2,0,4,19,4,20763
Air India,1660,COK,TRV,2,0,4,19,4,20763
Air India,2885,COK,TRV,2,0,4,19,4,21498
Air India,2885,COK,TRV,2,0,4,19,4,21498
Air India,2885,COK,TRV,2,0,4,19,4,21887
Air India,1715,COK,TRV,2,0,4,19,4,22391
Air India,1715,COK,TRV,2,0,4,19,4,22391
Air India,1715,COK,TRV,2,0,4,19,4,22391
Air India,1660,COK,TRV,2,0,4,19,4,22391
Air India,1660,COK,TRV,2,0,4,19,4,22391
Air India,1660,COK,TRV,2,0,4,19,4,22391
Air India,2885,COK,TRV,2,0,4,19,4,23515
Air India,2885,COK,TRV,2,0,4,19,4,23515
Air India,1715,COK,TRV,2,0,4,19,4,23966
Air India,1715,COK,TRV,2,0,4,19,4,23966
Air India,1660,COK,TRV,2,0,4,19,4,23966
Air India,1660,COK,TRV,2,0,4,19,4,23966
Air India,1660,COK,TRV,3,0,4,19,4,24044
Air India,1660,COK,TRV,3,0,4,19,4,24044
Air India,1350,COK,TRV,2,0,4,19,4,25016
Air India,1350,COK,TRV,2,0,4,19,4,25016
