airline,duration,source,destination,stops,day_diff,day_of_week,day_of_month,month,price
IndiGo,50,COK,TRV,0,0,5,20,4,5162
Air India,480,COK,TRV,1,0,5,20,4,9165
Air India,665,COK,TRV,1,0,5,20,4,10016
Air India,565,COK,TRV,1,0,5,20,4,19429
Air India,1460,COK,TRV,1,0,5,20,4,8766
Air India,1210,COK,TRV,1,0,5,20,4,8766
Air India,2230,COK,TRV,1,0,5,20,4,9120
Air India,1980,COK,TRV,1,0,5,20,4,9120
Air India,730,COK,TRV,1,0,5,20,4,9165
Air India,1435,COK,TRV,1,0,5,20,4,10016
Air India,720,COK,TRV,1,0,5,20,4,10620
Air India,1490,COK,TRV,1,0,5,20,4,10620
Air India,1530,COK,TRV,3,0,5,20,4,16704
Air India,1530,COK,TRV,3,0,5,20,4,16704
Air India,1530,COK,TRV,3,0,5,20,4,16809
Air India,1530,COK,TRV,3,0,5,20,4,16914
Air India,1530,COK,TRV,3,0,5,20,4,17019
Air India,1530,COK,TRV,3,0,5,20,4,19865
Air India,1530,COK,TRV,3,0,5,20,4,19865
Air India,2205,COK,TRV,2,0,5,20,4,20012
Air India,1790,COK,TRV,1,0,5,20,4,20164
Air India,2240,COK,TRV,2,0,5,20,4,20747
Air India,1990,COK,TRV,2,0,5,20,4,20747
Air India,1660,COK,TRV,3,0,5,20,4,20754
Air India,1990,COK,TRV,3,0,5,20,4,20796
Air India,2205,COK,TRV,2,0,5,20,4,21062
Air India,2205,COK,TRV,2,0,5,20,4,21062
Air India,2205,COK,TRV,2,0,5,20,4,21062
Air India,2205,COK,TRV,2,0,5,20,4,21062
Air India,2205,COK,TRV,2,0,5,20,4,21062
Air India,2205,COK,TRV,2,0,5,20,4,21062
Air India,1010,COK,TRV,2,0,5,20,4,21230
Air India,1660,COK,TRV,2,0,5,20,4,21262
Air India,1715,COK,TRV,3,0,5,20,4,21353
Air India,1715,COK,TRV,2,0,5,20,4,21860
Air India,1445,COK,TRV,2,0,5,20,4,21997
Air India,1660,COK,TRV,2,0,5,20,4,22312
Air India,1660,COK,TRV,2,0,5,20,4,22312
Air India,1660,COK,TRV,2,0,5,20,4,22312
Air India,1660,COK,TRV,2,0,5,20,4,22312
Air India,1660,COK,TRV,2,0,5,20,4,22312
Air India,1010,COK,TRV,2,0,5,20,4,22364
Air India,1010,COK,TRV,2,0,5,20,4,22364
Air India,1500,COK,TRV,2,0,5,20,4,22595
Air India,1610,COK,TRV,3,0,5,20,4,22689
Air India,1015,COK,TRV,2,0,5,20,4,22690
Air India,1015,COK,TRV,2,0,5,20,4,22690
Air India,765,COK,TRV,2,0,5,20,4,22690
Air India,765,COK,TRV,2,0,5,20,4,22690
Air India,1610,COK,TRV,3,0,5,20,4,22794
Air India,1715,COK,TRV,2,0,5,20,4,22910
Air India,1445,COK,TRV,2,0,5,20,4,23047
Air India,1445,COK,TRV,2,0,5,20,4,23047
Air India,1445,COK,TRV,2,0,5,20,4,23047
Air India,1445,COK,TRV,2,0,5,20,4,23047
Air India,1445,COK,TRV,2,0,5,20,4,23047
Air India,1500,COK,TRV,2,0,5,20,4,23645
Air India,1500,COK,TRV,2,0,5,20,4,23645
Air India,1500,COK,TRV,2,0,5,20,4,23645
Air India,1500,COK,TRV,2,0,5,20,4,23645
Air India,1500,COK,TRV,2,0,5,20,4,23645
