airline,duration,source,destination,stops,day_diff,day_of_week,day_of_month,month,price
Delta,351,San Francisco,New York,1,53,1,17,9,407
Delta,398,Miami,New York,0,55,4,23,8,400
United,397,San Francisco,New York,1,56,6,8,12,332
Delta,413,New York,Los Angeles,0,15,6,12,5,358
United,300,New York,San Francisco,0,56,0,20,5,353
Delta,310,Chicago,Miami,0,35,2,10,7,362
American Airlines,385,San Francisco,Miami,1,36,0,29,7,402
American Airlines,272,New York,Chicago,0,51,6,14,4,341
Delta,350,Miami,New York,2,37,3,1,8,406
American Airlines,265,Miami,Chicago,0,43,1,27,8,330
American Airlines,356,Los Angeles,San Francisco,0,18,1,5,11,329
American Airlines,284,New York,Chicago,0,43,0,9,9,402
American Airlines,269,Chicago,Miami,0,43,1,14,5,366
American Airlines,322,New York,San Francisco,0,48,1,9,4,366
American Airlines,397,Los Angeles,New York,2,30,1,26,3,343
United,436,Chicago,New York,2,59,4,22,11,339
American Airlines,433,Miami,New York,2,38,1,13,8,319
Delta,284,Los Angeles,Miami,1,53,3,4,1,344
United,310,Chicago,Miami,0,25,5,3,8,324
American Airlines,345,Los Angeles,Miami,2,39,2,6,3,308
Delta,406,Chicago,New York,1,23,0,7,10,331
United,262,New York,San Francisco,2,28,3,15,8,402
United,393,San Francisco,New York,1,60,1,22,10,314
American Airlines,425,Miami,Chicago,1,59,2,25,12,453
American Airlines,432,Los Angeles,New York,2,60,3,19,9,317
Delta,404,New York,San Francisco,2,41,4,15,3,357
American Airlines,443,Los Angeles,San Francisco,2,49,1,9,7,407
United,280,San Francisco,New York,1,31,2,24,1,310
Delta,351,Chicago,Miami,1,27,4,27,9,392
American Airlines,283,San Francisco,Los Angeles,0,54,1,12,11,395
American Airlines,339,New York,Chicago,1,29,4,11,10,331
American Airlines,288,New York,Los Angeles,1,13,1,5,3,301
American Airlines,266,New York,Los Angeles,1,58,4,27,9,398
American Airlines,428,Los Angeles,Chicago,0,53,6,6,10,368
American Airlines,314,San Francisco,Miami,2,44,1,28,5,347
Delta,318,New York,San Francisco,1,53,0,16,9,371
United,268,San Francisco,Chicago,0,21,0,1,4,356
Delta,342,Los Angeles,New York,2,46,0,26,2,338
American Airlines,446,New York,Miami,0,10,4,19,1,298
Delta,288,New York,Chicago,0,38,2,20,11,365
Delta,288,Chicago,Los Angeles,1,47,3,10,10,358
American Airlines,357,Miami,New York,1,21,5,27,7,375
American Airlines,386,Miami,New York,2,50,6,18,8,349
American Airlines,377,Los Angeles,Chicago,2,19,1,23,1,293
United,250,Chicago,Miami,1,56,0,21,10,383
American Airlines,359,Miami,New York,0,35,5,16,11,305
American Airlines,427,Chicago,Miami,2,28,3,4,7,399
American Airlines,417,Los Angeles,Miami,1,22,2,15,5,313
American Airlines,415,New York,San Francisco,1,40,6,22,9,331
Delta,259,San Francisco,Miami,2,41,5,2,3,303
Delta,286,Miami,Los Angeles,2,60,1,9,7,406
United,441,New York,San Francisco,2,13,3,12,12,297
American Airlines,360,San Francisco,Miami,2,21,4,8,11,385
United,374,San Francisco,Chicago,2,26,5,20,1,325
American Airlines,441,New York,Los Angeles,2,18,4,22,3,376
United,412,New York,Miami,1,56,4,3,5,346
